menu	id	label
Language	IDM_LANG_TEXT	None (Normal Text)
Language	IDM_LANG_FLASH	ActionScript
Language	IDM_LANG_ADA	Ada
Language	IDM_LANG_ASN1	ASN.1
Language	IDM_LANG_ASP	ASP
Language	IDM_LANG_ASM	Assembly
Language	IDM_LANG_AU3	AutoIt
Language	IDM_LANG_AVS	AviSynth
Language	IDM_LANG_BAANC	BaanC
Language	IDM_LANG_BATCH	Batch
Language	IDM_LANG_BLITZBASIC	Blitzbasic
Language	IDM_LANG_C	C
Language	IDM_LANG_CS	C#
Language	IDM_LANG_CPP	C++
Language	IDM_LANG_CAML	Caml
Language	IDM_LANG_CMAKE	CMake
Language	IDM_LANG_COBOL	COBOL
Language	IDM_LANG_CSOUND	CSound
Language	IDM_LANG_COFFEESCRIPT	CoffeeScript
Language	IDM_LANG_CSS	CSS
Language	IDM_LANG_D	D
Language	IDM_LANG_DIFF	Diff
Language	IDM_LANG_ERLANG	Erlang
Language	IDM_LANG_ERRORLIST	ErrorList
Language	IDM_LANG_ESCSEQ	Escape Sequence (ANSI)
Language	IDM_LANG_ESCRIPT	ESCRIPT
Language	IDM_LANG_FORTH	Forth
Language	IDM_LANG_FORTRAN	Fortran (free form)
Language	IDM_LANG_FORTRAN_77	Fortran (fixed form)
Language	IDM_LANG_FREEBASIC	Freebasic
Language	IDM_LANG_GDSCRIPT	GDScript
Language	IDM_LANG_GOLANG	Go
Language	IDM_LANG_GUI4CLI	Gui4Cli
Language	IDM_LANG_HASKELL	Haskell
Language	IDM_LANG_HOLLYWOOD	Hollywood
Language	IDM_LANG_HTML	HTML
Language	IDM_LANG_INI	INI file
Language	IDM_LANG_INNO	Inno Setup
Language	IDM_LANG_IHEX	Intel HEX
Language	IDM_LANG_JAVA	Java
Language	IDM_LANG_JS	JavaScript
Language	IDM_LANG_JSON	JSON
Language	IDM_LANG_JSON5	JSON5
Language	IDM_LANG_JSP	JSP
Language	IDM_LANG_KIX	KIXtart
Language	IDM_LANG_LISP	LISP
Language	IDM_LANG_LATEX	LaTeX
Language	IDM_LANG_LUA	Lua
Language	IDM_LANG_MAKEFILE	Makefile
Language	IDM_LANG_MATLAB	Matlab
Language	IDM_LANG_MSSQL	Microsoft Transact-SQL
Language	IDM_LANG_MMIXAL	MMIXAL
Language	IDM_LANG_ASCII	MS-DOS Style
Language	IDM_LANG_NIM	Nim
Language	IDM_LANG_NNCRONTAB	Nncrontab
Language	IDM_LANG_NSIS	NSIS
Language	IDM_LANG_OBJC	Objective-C
Language	IDM_LANG_OSCRIPT	OScript
Language	IDM_LANG_PASCAL	Pascal
Language	IDM_LANG_PERL	Perl
Language	IDM_LANG_PHP	PHP
Language	IDM_LANG_PS	PostScript
Language	IDM_LANG_POWERSHELL	PowerShell
Language	IDM_LANG_PROPS	Properties
Language	IDM_LANG_PUREBASIC	Purebasic
Language	IDM_LANG_PYTHON	Python
Language	IDM_LANG_R	R
Language	IDM_LANG_RAKU	Raku
Language	IDM_LANG_REBOL	REBOL
Language	IDM_LANG_REGISTRY	Registry
Language	IDM_LANG_RC	Resource file
Language	IDM_LANG_RUBY	Ruby
Language	IDM_LANG_RUST	Rust
Language	IDM_LANG_SAS	SAS
Language	IDM_LANG_BASH	Shell
Language	IDM_LANG_SCHEME	Scheme
Language	IDM_LANG_SMALLTALK	Smalltalk
Language	IDM_LANG_SPICE	Spice
Language	IDM_LANG_SQL	SQL
Language	IDM_LANG_SWIFT	Swift
Language	IDM_LANG_SREC	S-Record
Language	IDM_LANG_TCL	TCL
Language	IDM_LANG_TEHEX	Tektronix extended HEX
Language	IDM_LANG_TEX	TeX
Language	IDM_LANG_TOML	TOML
Language	IDM_LANG_TXT2TAGS	txt2tags
Language	IDM_LANG_TYPESCRIPT	TypeScript
Language	IDM_LANG_VERILOG	Verilog
Language	IDM_LANG_VHDL	VHDL
Language	IDM_LANG_VB	Visual Basic
Language	IDM_LANG_VISUALPROLOG	Visual Prolog
Language	IDM_LANG_XML	XML
Language	IDM_LANG_YAML	YAML
Language	IDM_LANG_USER_DLG	Define your language...
Language	IDM_LANG_OPENUDLDIR	Open User Defined Language folder...
Language	IDM_LANG_UDLCOLLECTION_PROJECT_SITE	Notepad++ User Defined Languages Collection
Language	IDM_LANG_USER	User-Defined
Language	IDM_LANG_TEXT	None (Normal Text)
Language	IDM_LANG_FLASH	A › ActionScript
Language	IDM_LANG_ADA	A › Ada
Language	IDM_LANG_ASN1	A › ASN.1
